Server,OS Name,ENV,Virtual,"Day of 
week",Start Time,End Time,Time Zone,Special Instructions on reboot
l1bpap6000,Oracle Linux Server 7.7,DR,physical,2nd Friday,23:00,3:00,EST,
l1bpap6001,Oracle Linux Server 7.7,DR,physical,2nd Friday,23:00,3:00,EST,
l1bpdo6000,Oracle Linux Server 7.7,DR,physical,3rd Sunday,23:00,7:00,EST,
l1bpdo6001,Oracle Linux Server 7.7,DR,physical,3rd Sunday,23:00,7:00,EST,
l1bpdo6002,Oracle Linux Server 7.7,DR,physical,3rd Sunday,23:00,7:00,EST,
l1bvap6000,Oracle Linux Server 7.7,DR,VMware,3rd Thursday,7:30,16:00,EST,Contact CheLock Lim
l1bvap6001,Oracle Linux Server 7.7,DR,VMware,3rd Thursday,7:30,16:00,EST,Contact CheLock Lim
l1bvap6007,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvap6008,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvdb6000,Oracle Linux Server 7.7,DR,VMware,3rd Thursday,7:30,16:00,EST,Contact CheLock Lim
l1bvdb6001,OEL 7.5,Prod,VMware,2nd Friday,22:00,3:00,EST,
l1bvdb6002,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvdb6003,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvdb6004,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvdb6005,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvdb6006,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,4:00,EST,
l1bvtl6000,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,3:00,EST,
l1bvtl6001,Oracle Linux Server 7.7,DR,VMware,2nd Friday,22:00,3:00,EST,
l1bvtl6002,Oracle Linux Server 7.7,DR,VMware,4th Thursday,22:00,2:00,EST,
l1cvap6000,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,9:00,15:00,EST,Contact Mike Reid to validate
l1cvap6001,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,9:00,15:00,EST,Contact Mike Reid to validate
l1cvap6002,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,9:00,15:00,EST,Contact Mike Reid to validate
l1cvap6003,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,23:00,6:00,EST,
l1cvap6004,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,23:00,6:00,EST,
l1cvap6005,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,23:00,6:00,EST,
l1cvap6006,Oracle Linux Server 7.7,CAT,VMware,4th Thursday,23:00,6:00,EST,
l1cvtl6000,Oracle Linux Server 7.7,CAT,VMware,2nd Friday,22:00,3:00,EST,
l1cvtl6001,Oracle Linux Server 7.7,CAT,VMware,2nd Friday,22:00,3:00,EST,
l1dpdo6000,Oracle Linux Server 7.7,DEV,physical,2nd Wednesday,22:00,4:00,EST,
l1dpdo6001,Oracle Linux Server 7.7,DEV,physical,2nd Wednesday,22:00,4:00,EST,
l1dptl6000,Oracle Linux Server 7.7,DEV,physical,2nd Wednesday,22:00,4:00,EST,
l1dvap6000,Oracle Linux Server 7.7,DEV,VMware,4th Thursday,23:00,6:00,EST,
l1dvap6001,Oracle Linux Server 7.7,DEV,VMware,4th Thursday,23:00,6:00,EST,
l1dvap6002,Oracle Linux Server 7.7,DEV,VMware,4th Thursday,23:00,6:00,EST,"Wed"""
l1dvap6003,Oracle Linux Server 7.7,DEV,VMware,2nd Monday,19:00,2:00,EST,
l1dvap6004,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvap6005,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvap6006,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvap6007,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvdo6002,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,9:00,13:00,EST,
l1dvdo6003,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,9:00,13:00,EST,
l1dvdo6004,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvdo6005,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvtl6000,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvtl6001,Oracle Linux Server 7.7,DEV,VMware,2nd Wednesday,22:00,4:00,EST,
l1dvtl6002,Oracle Linux Server 7.7,DEV,VMware,3rd Wednesday,22:00,4:00,EST,
l1dvtl6003,Oracle Linux Server 7.7,DEV,VMware,3rd Wednesday,22:00,4:00,EST,
l1ppap6000,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6001,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6002,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6003,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6004,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6005,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6006,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6007,Oracle Linux Server 7.7,PROD,physical,2nd Friday,8:00,15:00,EST,
l1ppap6008,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6009,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6010,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6011,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6012,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6013,Oracle Linux Server 7.7,PROD,physical,2nd Tuesday,22:00,4:00,EST,
l1ppap6014,Oracle Linux Server 7.8,PROD,physical,3rd Friday,23:00,3:00,EST,
l1ppap6015,Oracle Linux Server 7.8,PROD,physical,3rd Friday,23:00,3:00,EST,
l1ppap6016,Oracle Linux Server 7.8,PROD,physical,3rd Friday,23:00,3:00,EST,
l1pvap6000,Oracle Linux Server 7.7,PROD,VMware,3rd Thursday,9:00,16:00,EST,
l1pvap6001,Oracle Linux Server 7.7,PROD,VMware,3rd Thursday,9:00,16:00,EST,
l1pvap6002,Oracle Linux Server 7.7,PROD,VMware,3rd Thursday,9:00,16:00,EST,
l1pvap6003,Oracle Linux Server 7.7,PROD,VMware,3rd Thursday,9:00,16:00,EST,
l1pvap6004,Oracle Linux Server 7.7,PROD,VMware,3rd Thursday,9:00,16:00,EST,
l1pvap6005,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6006,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6007,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6008,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6009,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6010,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6011,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6012,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,15:00,EST,
l1pvap6013,Oracle Linux Server 7.7,PROD,VMware,3rd Friday,9:00,10:00,EST,
l1pvap6014,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6015,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6016,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6017,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6018,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6019,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvap6020,Oracle Linux Server 7.8,PROD,VMware,3rd Friday,23:00,3:00,EST,
l1pvap6021,Oracle Linux Server 7.8,PROD,VMware,3rd Friday,23:00,3:00,EST,
l1pvdb6001,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,9:00,14:00,EST,
l1pvdb6002,Oracle Linux Server 7.7,PROD,VMware,4th Thursday,22:00,4:00,EST,
l1pvdb6003,Oracle Linux Server 7.7,PROD,VMware,4th Thursday,22:00,4:00,EST,
l1pvdb6004,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
l1pvdb6005,Oracle Linux Server 7.7,PROD,VMware,2nd Tuesday,22:00,4:00,EST,
